原页码,菌株名称,JCM编号,BacDive链接,WGS_ID,WGS_状态,WGS_文件,16S_ID,16S_状态,16S_文件
1467,Debaryomyces maramus JCM 1528,1528,N/A,N/A,N/A,,N/A,N/A,
1467,Vanrija fragicola JCM 1530,1530,N/A,N/A,N/A,,N/A,N/A,
1467,Asterotremella musci JCM 1531,1531,N/A,N/A,N/A,,N/A,N/A,
1467,Cutaneotrichosporon cutaneum JCM 1533,1533,N/A,N/A,N/A,,N/A,N/A,
1467,Trichosporon lactis JCM 1534,1534,N/A,N/A,N/A,,N/A,N/A,
1467,Candida sorboxylosa JCM 1536,1536,N/A,N/A,N/A,,N/A,N/A,
1467,Candida albicans JCM 1537,1537,N/A,N/A,N/A,,N/A,N/A,
1467,Candida albicans JCM 1538,1538,N/A,N/A,N/A,,N/A,N/A,
1467,Candida albicans JCM 1542,1542,N/A,N/A,N/A,,N/A,N/A,
1467,Candida albicans JCM 1543,1543,N/A,N/A,N/A,,N/A,N/A,
1467,Pichia anomala JCM 1544,1544,N/A,N/A,N/A,,N/A,N/A,
1467,Hasegawazyma lactosa JCM 1546,1546,N/A,N/A,N/A,,N/A,N/A,
1467,Hasegawazyma lactosa JCM 1547,1547,N/A,N/A,N/A,,N/A,N/A,
1467,Trichosporon coremiiforme JCM 1549,1549,N/A,N/A,N/A,,N/A,N/A,
1468,Lactobacillus JCM 1552,1552,https://bacdive.dsmz.de/strain/161600,N/A,N/A,,AB289156,成功,Lactobacillus JCM 1552_16S_AB289156.fasta
1468,Lacticaseibacillus rhamnosus JCM 1553,1553,https://bacdive.dsmz.de/strain/161603,GCA_003433395,成功,Lacticaseibacillus rhamnosus JCM 1553_WGS_GCA_003433395.fasta,AB289278,成功,Lacticaseibacillus rhamnosus JCM 1553_16S_AB289278.fasta
1468,Lactobacillus helveticus JCM 1554,1554,https://bacdive.dsmz.de/strain/137106,GCA_002868275,成功,Lactobacillus helveticus JCM 1554_WGS_GCA_002868275.fasta,AB289157,成功,Lactobacillus helveticus JCM 1554_16S_AB289157.fasta
